age,income,loan_amount,credit_score,late_payments,debt_ratio,employment_years,married,default
27,458.0,1799.0,709.0,1,48.2,18,0,0
37,371.0,1544.0,685.0,3,48.0,17,0,0
50,466.0,2132.0,900.0,2,43.3,10,0,0
24,503.0,1717.0,732.0,0,43.5,12,1,0
41,502.0,2171.0,528.0,2,37.6,22,0,0
57,481.0,1660.0,675.0,2,44.2,5,0,0
40,351.0,1826.0,738.0,2,31.5,22,1,0
47,325.0,1860.0,651.0,1,11.6,17,0,0
24,274.0,2352.0,648.0,1,43.1,19,1,0
40,435.0,1722.0,651.0,2,43.3,0,1,0
41,363.0,2399.0,718.0,5,22.8,1,1,0
53,334.0,1520.0,592.0,1,41.1,6,0,0
28,328.0,2013.0,641.0,1,41.0,4,0,0
54,540.0,1611.0,752.0,1,46.8,25,1,0
60,485.0,2369.0,646.0,1,34.9,18,0,0
39,581.0,1556.0,642.0,3,20.8,1,1,0
22,438.0,1599.0,584.0,1,31.2,2,1,0
32,386.0,1372.0,725.0,1,31.1,19,0,0
49,377.0,1943.0,710.0,1,34.8,9,1,0
46,268.0,2148.0,748.0,2,37.2,9,1,0
44,241.0,2103.0,672.0,2,33.6,20,1,1
52,436.0,1839.0,702.0,0,40.0,7,0,0
51,277.0,1623.0,702.0,0,25.0,8,1,0
56,403.0,1783.0,580.0,0,39.6,1,0,0
28,503.0,1799.0,845.0,0,28.4,2,0,0
37,307.0,2006.0,748.0,1,34.0,15,1,0
47,601.0,1977.0,686.0,3,17.7,3,1,0
23,271.0,2631.0,664.0,1,45.4,22,0,0
22,489.0,1917.0,773.0,1,32.9,5,0,0
33,427.0,2052.0,687.0,1,39.4,12,0,0
26,511.0,1930.0,744.0,1,27.8,5,0,0
58,257.0,1763.0,640.0,1,30.4,9,1,0
53,634.0,2049.0,619.0,0,26.3,22,0,0
30,360.0,1723.0,669.0,1,37.6,16,0,0
56,454.0,1876.0,681.0,3,41.8,7,1,0
40,539.0,2387.0,710.0,1,26.0,8,0,0
37,313.0,1696.0,783.0,3,37.4,1,1,0
24,471.0,2063.0,758.0,1,33.6,16,1,0
41,295.0,858.0,772.0,0,37.9,19,1,0
45,534.0,1822.0,629.0,1,27.0,10,0,0
54,296.0,1693.0,659.0,2,40.7,17,1,0
45,384.0,1951.0,748.0,1,33.2,21,1,0
32,414.0,1801.0,765.0,0,34.6,2,0,0
29,466.0,1959.0,732.0,2,59.4,8,1,0
57,597.0,1741.0,641.0,2,18.4,7,1,0
59,330.0,2062.0,607.0,1,41.4,6,1,0
41,505.0,1180.0,696.0,0,40.4,6,1,0
56,597.0,1947.0,618.0,0,42.3,22,1,0
46,398.0,1506.0,712.0,0,41.9,20,1,0
56,319.0,2391.0,768.0,0,37.9,7,1,0
46,190.0,1500.0,693.0,1,40.1,19,0,0
50,587.0,2318.0,589.0,1,62.9,4,1,0
39,353.0,1895.0,644.0,0,34.3,2,0,0
39,270.0,1132.0,741.0,0,34.2,18,1,0
23,231.0,1532.0,713.0,1,25.3,1,1,0
56,270.0,2256.0,719.0,3,27.8,13,1,0
37,481.0,2232.0,804.0,0,38.2,20,1,0
57,496.0,1354.0,704.0,2,39.7,1,1,0
54,452.0,2556.0,702.0,1,34.9,9,1,0
25,395.0,1890.0,740.0,4,42.5,19,0,0
54,243.0,2272.0,598.0,0,32.0,9,0,0
35,300.0,1391.0,649.0,5,60.9,16,1,0
42,258.0,1709.0,628.0,2,37.5,1,1,0
41,443.0,2075.0,726.0,2,42.7,0,1,1
29,263.0,1768.0,616.0,1,37.6,17,1,0
28,301.0,673.0,719.0,4,30.0,3,0,0
24,360.0,1820.0,665.0,0,30.9,0,0,0
38,196.0,1075.0,655.0,2,24.5,21,1,0
54,385.0,1450.0,744.0,0,18.8,16,1,0
33,368.0,1311.0,587.0,3,45.5,2,1,0
43,510.0,2376.0,646.0,0,29.9,1,0,0
43,290.0,2507.0,885.0,3,35.4,17,1,0
51,237.0,2043.0,810.0,1,51.3,3,0,0
59,339.0,1803.0,553.0,1,47.7,24,0,0
59,259.0,1912.0,644.0,0,37.5,2,0,0
29,384.0,2375.0,684.0,2,33.9,11,1,0
48,175.0,1067.0,581.0,0,34.5,21,0,0
48,313.0,1448.0,821.0,2,58.0,15,0,0
55,278.0,2322.0,682.0,1,37.7,10,0,0
42,442.0,2409.0,667.0,3,65.9,9,1,0
51,291.0,2148.0,707.0,1,23.0,18,0,0
54,189.0,1461.0,706.0,2,36.5,9,0,0
49,358.0,2316.0,620.0,2,47.7,20,1,0
54,415.0,2472.0,772.0,1,46.8,24,1,0
26,350.0,2202.0,691.0,1,42.3,2,1,0
40,313.0,853.0,772.0,0,29.9,23,0,0
25,306.0,1952.0,640.0,2,22.9,5,0,0
56,392.0,2146.0,554.0,3,34.2,13,1,0
38,282.0,1683.0,781.0,0,46.4,11,1,0
49,344.0,1978.0,732.0,0,53.0,7,1,0
51,463.0,1684.0,762.0,4,37.1,1,1,0
50,237.0,1538.0,766.0,2,35.0,8,1,0
27,375.0,2534.0,681.0,0,38.1,13,0,0
56,183.0,1990.0,654.0,1,38.2,0,0,0
58,405.0,1435.0,674.0,0,47.9,2,1,0
45,272.0,1322.0,719.0,1,32.3,19,0,0
50,492.0,1538.0,699.0,0,34.8,5,1,0
52,218.0,1541.0,552.0,1,40.6,19,1,0
56,429.0,1962.0,672.0,1,29.7,12,0,0
54,514.0,2104.0,779.0,1,26.8,10,1,0
42,267.0,2103.0,680.0,2,50.0,14,1,0
53,285.0,1585.0,836.0,1,35.8,17,1,0
44,276.0,2287.0,613.0,0,44.9,18,0,0
54,327.0,2416.0,704.0,4,42.9,18,0,0
24,437.0,1791.0,611.0,2,22.2,5,1,0
39,318.0,1467.0,620.0,2,29.5,14,1,0
46,257.0,1942.0,621.0,4,36.6,20,0,0
52,158.0,2807.0,835.0,0,33.6,13,1,0
24,556.0,1456.0,662.0,0,38.4,4,1,0
45,565.0,1679.0,631.0,2,37.9,10,1,0
53,442.0,1924.0,680.0,1,43.9,19,0,0
43,291.0,2127.0,664.0,2,35.6,12,0,0
44,462.0,1066.0,737.0,2,36.7,12,0,0
23,484.0,2448.0,537.0,1,21.6,3,0,0
48,352.0,2443.0,613.0,0,30.0,8,1,0
23,385.0,1722.0,739.0,0,30.5,22,1,0
47,515.0,3037.0,646.0,0,31.6,12,0,0
38,200.0,2416.0,627.0,1,32.3,7,1,0
54,490.0,2393.0,624.0,0,42.0,19,0,0
30,346.0,2399.0,731.0,2,53.7,10,1,0
60,258.0,2387.0,728.0,2,22.5,18,1,0
50,267.0,1891.0,747.0,2,34.0,0,0,0
47,285.0,1849.0,599.0,4,27.3,8,1,0
56,247.0,1504.0,594.0,2,22.6,24,1,0
46,575.0,1658.0,760.0,0,30.7,1,1,0
45,434.0,1769.0,694.0,1,25.5,3,0,0
34,497.0,1927.0,638.0,1,38.3,3,1,0
28,442.0,2571.0,669.0,6,34.4,0,1,0
57,387.0,1017.0,594.0,1,33.0,17,1,0
41,388.0,2465.0,643.0,0,39.1,13,1,0
22,336.0,1475.0,691.0,1,21.7,12,0,0
29,345.0,1856.0,705.0,1,25.9,7,1,0
37,225.0,1596.0,674.0,2,39.6,5,0,0
35,499.0,2679.0,667.0,1,25.8,16,0,0
33,181.0,1690.0,731.0,2,15.6,22,1,0
44,264.0,2119.0,673.0,0,52.0,10,0,0
36,601.0,2141.0,649.0,0,39.4,14,0,0
49,395.0,1413.0,627.0,1,46.2,6,0,0
55,400.0,1859.0,556.0,0,28.7,21,1,0
23,450.0,2406.0,725.0,0,22.2,7,1,0
53,211.0,1533.0,782.0,2,38.9,10,1,0
44,227.0,2248.0,622.0,1,25.0,20,1,0
43,331.0,1761.0,591.0,1,46.2,1,0,0
46,281.0,2389.0,636.0,1,38.4,19,0,0
43,372.0,2634.0,700.0,2,38.0,10,0,0
43,433.0,1057.0,645.0,0,38.1,13,0,0
27,533.0,1338.0,643.0,0,56.3,23,0,0
36,469.0,1716.0,674.0,1,42.5,12,1,0
58,271.0,2515.0,687.0,1,34.0,7,0,0
54,339.0,2124.0,706.0,1,37.4,11,0,0
29,309.0,1377.0,659.0,0,27.3,20,1,0
26,268.0,2185.0,658.0,0,30.8,21,0,0
60,243.0,1516.0,545.0,1,48.5,8,0,0
25,563.0,2266.0,745.0,2,36.4,25,0,0
27,381.0,2126.0,698.0,0,43.6,25,1,0
53,355.0,1514.0,786.0,1,27.1,9,0,0
51,433.0,1872.0,716.0,0,44.5,10,1,0
56,439.0,2414.0,675.0,2,34.0,10,1,0
37,503.0,1105.0,576.0,1,38.3,15,1,0
34,298.0,2026.0,566.0,3,36.6,17,1,0
51,424.0,1435.0,753.0,2,37.8,20,1,0
40,280.0,1893.0,719.0,2,34.9,8,0,0
38,359.0,2092.0,783.0,2,48.8,2,1,0
40,386.0,2746.0,745.0,1,20.9,21,0,0
49,397.0,1889.0,654.0,0,41.3,3,1,0
47,392.0,2516.0,519.0,0,29.3,19,1,0
58,468.0,1547.0,722.0,1,26.4,18,0,0
47,314.0,1692.0,609.0,1,57.4,9,0,0
44,400.0,2147.0,667.0,0,26.5,12,0,0
30,297.0,1985.0,709.0,0,17.8,0,1,0
33,701.0,1762.0,636.0,0,45.6,11,1,0
22,280.0,1751.0,622.0,1,31.1,10,0,0
22,303.0,2460.0,658.0,1,48.7,23,1,0
55,477.0,1779.0,537.0,1,13.5,4,1,0
53,333.0,1471.0,608.0,1,54.5,1,1,0
46,477.0,1541.0,607.0,1,45.4,16,1,0
22,397.0,2181.0,663.0,2,33.9,16,1,0
37,336.0,2848.0,614.0,4,18.7,19,1,0
60,297.0,1680.0,644.0,0,22.7,14,1,0
26,293.0,2802.0,649.0,1,29.1,3,0,0
43,337.0,1895.0,829.0,2,43.1,21,1,0
50,361.0,1782.0,734.0,1,27.4,10,0,0
24,288.0,1518.0,672.0,0,15.5,22,1,0
33,368.0,1817.0,711.0,1,38.3,0,1,0
47,260.0,1582.0,744.0,1,46.0,9,1,0
37,463.0,1549.0,700.0,0,58.0,17,0,0
58,484.0,1206.0,608.0,0,25.7,14,0,0
43,303.0,2642.0,670.0,1,26.8,18,0,0
50,296.0,2347.0,612.0,1,6.1,24,0,0
35,400.0,2014.0,657.0,0,20.5,3,0,0
49,519.0,1840.0,669.0,0,25.3,5,0,0
26,544.0,1898.0,754.0,2,27.1,1,1,0
51,226.0,1574.0,624.0,4,30.7,12,1,0
26,491.0,1424.0,619.0,0,41.9,1,1,0
33,373.0,2201.0,630.0,2,41.1,12,0,0
37,375.0,1790.0,637.0,2,30.9,14,1,0
47,436.0,2037.0,658.0,0,36.2,17,0,0
47,327.0,1202.0,703.0,1,22.4,10,1,0
42,501.0,1768.0,625.0,0,30.3,4,1,0
60,537.0,1416.0,688.0,0,23.1,24,1,0
57,541.0,2103.0,689.0,3,28.6,13,1,0
54,177.0,2318.0,719.0,1,54.6,21,1,0
51,355.0,2513.0,665.0,0,37.5,15,1,0
58,167.0,1636.0,738.0,1,30.1,13,1,0
44,296.0,1426.0,706.0,2,40.8,8,0,0
31,120.0,1724.0,703.0,1,32.1,5,1,0
26,430.0,1606.0,641.0,3,52.8,8,1,1
57,404.0,2081.0,699.0,2,39.5,4,1,0
55,332.0,1311.0,705.0,1,24.4,10,0,0
52,293.0,1163.0,638.0,2,49.2,11,1,0
31,415.0,1754.0,764.0,0,42.2,16,0,0
40,269.0,2205.0,864.0,2,40.7,5,1,0
53,261.0,1468.0,634.0,3,44.3,19,0,0
22,248.0,2257.0,647.0,1,43.3,24,1,0
26,358.0,2053.0,649.0,0,41.1,5,1,0
25,316.0,2550.0,588.0,3,34.4,14,0,1
37,338.0,1563.0,619.0,0,45.1,16,0,0
45,437.0,1225.0,740.0,1,34.3,21,0,0
37,486.0,2151.0,674.0,3,49.3,2,0,0
23,540.0,2018.0,814.0,2,41.0,18,1,0
49,387.0,1985.0,660.0,0,37.9,22,1,0
53,418.0,1460.0,709.0,0,42.3,1,1,0
48,401.0,2226.0,617.0,3,37.6,8,1,0
41,196.0,1634.0,672.0,2,48.7,8,1,0
45,339.0,1985.0,686.0,4,45.5,6,1,0
33,340.0,1707.0,533.0,1,36.7,24,0,0
56,324.0,2049.0,622.0,3,5.0,15,1,0
54,375.0,1398.0,725.0,1,44.6,5,1,0
54,356.0,2110.0,721.0,0,40.2,8,1,0
58,272.0,2176.0,593.0,1,60.3,25,1,0
33,363.0,1949.0,655.0,0,23.0,12,1,0
24,310.0,2590.0,514.0,0,33.8,1,1,1
22,120.0,1987.0,680.0,1,20.5,13,0,0
54,226.0,2286.0,768.0,2,28.7,4,1,0
31,390.0,1939.0,771.0,1,51.6,10,1,0
50,500.0,2248.0,769.0,1,19.4,14,1,0
34,120.0,1256.0,717.0,0,22.1,5,1,0
33,284.0,1914.0,761.0,0,41.8,5,1,0
52,427.0,1427.0,667.0,1,37.9,15,1,0
23,477.0,1959.0,643.0,0,32.7,19,1,0
56,334.0,2061.0,760.0,0,10.3,3,0,0
44,305.0,2239.0,700.0,0,48.7,4,0,0
38,514.0,2106.0,554.0,2,33.6,5,1,0
47,468.0,1759.0,765.0,0,25.8,12,0,0
29,474.0,1583.0,665.0,1,39.2,13,1,0
50,329.0,916.0,633.0,1,48.6,23,1,0
47,503.0,1929.0,749.0,0,33.3,12,1,0
31,166.0,2378.0,739.0,4,29.5,9,0,0
47,504.0,1946.0,613.0,2,36.4,16,1,0
55,373.0,1864.0,669.0,0,39.8,23,0,0
28,394.0,1960.0,616.0,0,40.8,17,0,0
25,276.0,1737.0,618.0,0,33.5,6,0,0
32,180.0,1982.0,471.0,2,48.3,3,1,0
50,392.0,1730.0,609.0,1,27.2,23,1,0
57,441.0,1522.0,668.0,2,34.3,21,1,0
46,457.0,1868.0,482.0,0,34.2,20,0,0
42,445.0,1859.0,584.0,2,20.6,15,0,0
57,420.0,2688.0,722.0,0,39.6,9,0,0
31,278.0,1562.0,581.0,0,36.9,25,1,0
58,464.0,1833.0,669.0,1,34.1,20,1,0
30,266.0,1792.0,564.0,2,41.1,19,1,0
45,502.0,1712.0,709.0,1,34.1,18,0,0
56,371.0,2116.0,657.0,0,50.1,2,0,0
56,374.0,2840.0,616.0,1,40.7,18,1,0
57,475.0,1765.0,495.0,4,39.7,22,1,0
39,490.0,2117.0,617.0,0,29.3,23,0,0
60,465.0,1097.0,727.0,1,17.1,12,1,0
53,290.0,1735.0,789.0,1,44.0,7,0,0
45,464.0,2553.0,665.0,3,17.1,17,1,0
44,290.0,1877.0,673.0,2,33.3,18,1,0
53,467.0,2111.0,633.0,3,44.8,17,0,0
58,223.0,1638.0,766.0,1,27.3,21,0,0
33,370.0,2008.0,663.0,1,31.4,18,1,0
34,290.0,2586.0,743.0,1,22.1,21,0,0
44,476.0,1413.0,697.0,0,26.8,3,0,0
46,503.0,2818.0,689.0,1,28.0,12,1,0
56,402.0,1251.0,609.0,1,31.4,11,0,0
51,398.0,1696.0,805.0,1,37.3,14,0,0
38,457.0,1549.0,783.0,0,38.3,25,1,0
41,503.0,1786.0,839.0,2,50.5,14,0,0
46,384.0,1543.0,603.0,1,31.1,9,1,0
43,325.0,1512.0,698.0,0,41.6,21,1,0
34,451.0,1402.0,624.0,2,29.6,18,0,0
40,176.0,2171.0,711.0,0,52.8,20,1,0
57,480.0,1800.0,700.0,0,37.2,7,0,0
33,302.0,1690.0,651.0,2,33.9,18,1,0
40,354.0,2019.0,664.0,1,28.1,24,0,0
33,481.0,1272.0,826.0,1,45.1,8,0,0
30,334.0,2029.0,671.0,1,37.3,6,0,0
28,451.0,1861.0,526.0,0,38.0,7,0,0
49,505.0,1874.0,642.0,3,25.4,8,1,0
35,392.0,2118.0,603.0,3,28.2,16,1,0
52,414.0,2590.0,616.0,0,18.4,14,0,0
40,367.0,2036.0,730.0,3,30.9,15,0,0
37,393.0,1816.0,742.0,2,31.2,6,1,0
26,257.0,1403.0,621.0,1,22.6,9,0,0
56,348.0,896.0,641.0,0,35.3,18,1,0
33,238.0,1954.0,631.0,0,32.5,5,0,0
46,281.0,1371.0,786.0,2,28.7,24,1,0
42,160.0,833.0,744.0,2,27.4,11,1,0
57,409.0,1753.0,727.0,2,37.7,14,1,0
44,566.0,2001.0,608.0,0,28.2,9,1,0
37,330.0,2213.0,560.0,0,52.4,23,1,0
60,486.0,2346.0,766.0,1,34.2,17,1,0
60,504.0,2268.0,814.0,2,45.2,3,1,0
35,248.0,2279.0,557.0,2,24.5,10,0,0
52,272.0,1283.0,837.0,0,34.4,4,1,0
26,489.0,1837.0,673.0,0,26.5,12,1,0
56,370.0,2144.0,692.0,1,40.3,9,0,0
44,238.0,1919.0,588.0,2,35.4,21,0,0
50,310.0,1835.0,556.0,1,55.8,6,1,0
32,426.0,1912.0,522.0,0,32.2,10,0,0
39,293.0,2003.0,752.0,2,18.4,3,0,0
33,120.0,1868.0,674.0,2,35.4,3,0,0
30,345.0,1545.0,712.0,0,38.0,4,0,0
31,353.0,1185.0,759.0,2,29.7,24,0,0
38,381.0,1814.0,673.0,0,28.5,8,1,0
59,518.0,1924.0,798.0,2,24.0,0,0,0
28,386.0,1920.0,622.0,0,40.8,15,0,0
34,407.0,2300.0,651.0,7,41.9,4,1,0
