customer_id,age,gender,region,device_type,subscription_type,payment_method,marketing_channel,tenure_months,monthly_fee,avg_watch_hours,weekly_login_days,num_devices_registered,num_profiles,support_tickets_6m,payment_failures_3m,days_since_last_login,used_discount,auto_renew,price_increase_recent,multi_service_user,satisfaction_score,churn
131,21,Male,Seoul,Web,Standard,MobilePay,Ads,15,13869.0,2.2,4.6,6,2,0,0,2,0,1,0,0,4.4,0
132,39,Male,Daejeon,iOS,Basic,BankTransfer,Affiliate,26,9208.0,14.4,2.8,4,5,1,1,0,1,1,0,0,3.8,0
133,26,Male,Busan,Android,Basic,,Referral,28,10557.0,18.0,1.8,3,4,1,0,0,0,1,0,0,3.6,0
134,43,Female,Daegu,iOS,Basic,MobilePay,Ads,15,7555.0,3.3,5.6,3,3,0,0,37,0,0,0,0,3.4,0
135,28,Female,Gwangju,Android,Basic,KakaoPay,Ads,12,8517.0,14.7,2.3,6,2,1,0,5,0,1,0,0,3.1,0
136,55,Female,Incheon,Android,Standard,MobilePay,Organic,13,10137.0,33.6,3.7,4,1,1,1,60,1,1,1,1,,0
137,29,Female,Other,Android,Basic,MobilePay,SNS,14,7565.0,33.9,7.0,1,2,0,2,26,0,1,0,1,3.8,1
138,34,Male,Seoul,iOS,Basic,KakaoPay,Organic,22,11257.0,18.0,2.8,1,1,0,0,25,0,1,0,1,4.2,0
139,47,Female,Incheon,Android,Basic,BankTransfer,Organic,16,9190.0,22.5,4.6,4,6,2,1,21,0,0,1,1,,0
140,24,Male,Incheon,Android,Standard,CreditCard,Affiliate,13,12241.0,,5.4,3,5,0,0,1,1,1,1,0,2.4,0
141,41,Male,Gwangju,Android,Standard,CreditCard,Organic,9,13556.0,,5.7,5,3,2,0,10,1,1,0,1,2.9,0
142,52,Female,Incheon,Android,Premium,CreditCard,Organic,20,20834.0,17.2,4.4,4,3,1,0,6,0,1,1,0,,0
143,20,Male,Seoul,Android,Standard,MobilePay,Ads,18,13746.0,,4.2,7,4,1,1,7,1,1,1,0,2.6,1
144,40,Female,Other,iOS,Standard,CreditCard,Ads,34,14763.0,14.9,0.0,2,3,4,1,2,1,1,0,0,2.1,0
145,41,Male,Incheon,iOS,Basic,CreditCard,Organic,7,7542.0,28.7,0.6,4,1,0,1,4,1,1,0,0,3.5,0
146,47,Female,Busan,Tablet,Basic,CreditCard,Organic,21,10349.0,35.6,2.9,4,1,1,0,1,0,0,0,1,2.2,0
147,24,Male,Incheon,Android,Standard,CreditCard,Ads,16,16222.0,27.8,5.8,3,5,2,0,7,0,0,0,0,2.7,0
148,23,Male,Seoul,Web,Basic,MobilePay,Ads,3,7334.0,11.8,5.0,3,2,2,1,3,1,1,0,0,2.5,0
149,44,Female,Seoul,Android,Premium,CreditCard,Organic,15,20191.0,16.4,4.5,3,5,2,2,2,0,1,0,1,2.3,0
150,41,Female,Seoul,Android,Standard,,Organic,28,,,5.5,2,5,2,0,20,0,1,1,0,3.5,0
151,41,Female,Seoul,Android,Basic,CreditCard,Ads,7,9500.0,12.7,5.2,1,4,1,0,15,1,0,1,0,2.6,1
152,42,Female,Seoul,Android,Premium,CreditCard,Organic,25,19259.0,25.4,6.6,3,2,2,0,0,1,1,0,0,1.6,0
153,31,Female,Incheon,iOS,Basic,CreditCard,Organic,40,7477.0,7.1,6.0,4,2,0,0,44,1,0,0,0,,0
154,41,Female,Gwangju,Web,Basic,CreditCard,Ads,11,8657.0,16.6,3.4,1,1,0,1,6,0,0,1,1,3.7,0
155,41,Male,Gwangju,Web,Basic,BankTransfer,Ads,38,9163.0,17.8,5.0,3,2,2,0,5,0,1,1,0,3.5,0
156,30,Male,Seoul,Tablet,Standard,BankTransfer,Referral,20,17289.0,26.7,6.1,2,2,3,0,0,1,1,0,0,4.2,0
157,59,Male,Other,Web,Standard,CreditCard,Organic,18,11714.0,16.3,4.7,7,2,0,0,6,0,1,1,1,3.9,0
158,43,Female,Other,iOS,Basic,CreditCard,Referral,6,10457.0,8.0,5.4,7,4,0,0,11,1,0,0,1,4.1,0
159,25,Male,Other,iOS,Standard,BankTransfer,Ads,7,14355.0,10.7,3.2,3,2,0,0,20,1,1,1,0,4.1,0
160,45,Female,Busan,Web,Basic,MobilePay,Affiliate,18,6784.0,21.2,2.1,2,3,0,0,18,0,0,0,1,2.8,1
161,27,Female,Gwangju,iOS,Premium,CreditCard,Ads,27,20312.0,33.4,2.9,6,2,0,0,13,0,0,1,0,2.3,0
162,47,Female,Seoul,Android,Premium,CreditCard,Ads,16,18484.0,24.7,6.3,1,6,0,0,15,1,1,1,1,4.1,1
163,51,Male,Other,iOS,Standard,CreditCard,Ads,20,15373.0,18.1,3.8,2,2,0,1,1,0,0,0,0,1.9,0
164,29,Male,Seoul,iOS,Standard,KakaoPay,Organic,12,13403.0,19.8,3.5,3,1,2,0,19,1,1,1,0,,0
165,49,Female,Busan,iOS,Basic,CreditCard,Organic,14,10236.0,22.5,4.3,2,1,1,0,32,1,1,0,0,3.0,1
166,43,Male,Incheon,Web,Basic,KakaoPay,Ads,15,7750.0,,4.0,6,5,1,1,24,0,0,0,0,4.1,1
167,47,Male,Daegu,iOS,Standard,MobilePay,Organic,30,13849.0,19.1,1.2,3,5,1,1,0,0,0,0,0,3.6,0
168,59,Male,Daegu,Web,Basic,CreditCard,Organic,38,,15.8,5.4,4,2,2,1,5,0,0,0,0,2.6,0
169,35,Male,Seoul,Web,Standard,BankTransfer,Referral,9,,8.6,4.4,3,3,0,0,16,1,1,0,0,3.2,0
170,30,Male,Incheon,Android,Basic,BankTransfer,Referral,21,,7.5,5.5,3,4,1,0,9,0,0,1,0,2.4,0
171,28,Female,Other,Android,Standard,BankTransfer,Organic,35,12955.0,11.6,4.3,1,5,1,0,18,0,0,0,0,4.2,0
172,29,Male,Other,Android,Standard,MobilePay,SNS,11,15026.0,6.4,4.4,1,4,1,0,9,0,1,0,0,3.4,0
173,37,Female,Daegu,Web,Basic,CreditCard,SNS,14,8756.0,19.0,4.3,2,4,0,0,8,1,0,1,0,3.9,0
174,42,Male,Daegu,Android,Standard,KakaoPay,Ads,11,13562.0,7.8,6.8,1,1,1,0,2,0,1,0,1,2.9,0
175,41,Female,Seoul,iOS,Basic,CreditCard,Ads,22,10333.0,1.3,4.0,3,3,1,1,5,0,1,0,0,4.8,0
176,47,Female,Seoul,iOS,Basic,CreditCard,Affiliate,17,9640.0,5.2,4.4,3,2,2,0,2,0,0,1,0,3.2,0
177,38,Male,Busan,Web,Basic,KakaoPay,Affiliate,20,9205.0,8.7,7.0,3,3,1,0,22,1,1,0,1,2.8,0
178,54,Male,Incheon,Android,Basic,BankTransfer,Ads,7,7869.0,23.5,3.7,3,5,0,0,3,0,0,1,0,2.9,0
179,35,Male,Daejeon,Android,Basic,BankTransfer,Ads,28,8938.0,21.9,4.7,4,3,0,1,39,0,1,0,1,3.7,0
180,68,Female,Incheon,Android,Standard,MobilePay,Referral,19,14292.0,3.0,2.8,4,1,0,0,4,0,0,0,0,2.1,0
181,45,Female,Seoul,iOS,Premium,CreditCard,Ads,3,22116.0,21.6,2.1,2,1,1,0,1,0,1,0,1,2.3,0
182,29,Female,Incheon,Android,Premium,CreditCard,Referral,12,14852.0,8.1,3.3,4,2,0,0,13,1,1,0,0,2.4,0
183,26,Male,Seoul,Web,Basic,KakaoPay,Organic,26,8533.0,14.6,2.7,1,4,1,0,0,1,1,1,0,4.1,0
184,43,Male,Other,Android,Premium,CreditCard,Referral,22,18016.0,27.5,6.3,2,3,1,0,2,0,1,0,0,4.7,0
185,36,Male,Seoul,iOS,Premium,CreditCard,Affiliate,21,17612.0,18.6,5.3,5,5,1,0,11,0,1,1,1,4.0,0
186,46,Male,Incheon,Tablet,Basic,CreditCard,SNS,9,6934.0,43.8,2.0,4,4,1,0,6,0,1,0,0,2.9,0
187,43,Female,Daejeon,iOS,Premium,KakaoPay,Ads,49,20657.0,26.8,1.9,4,3,2,0,11,0,1,0,0,3.0,0
188,37,Male,Seoul,Android,Premium,CreditCard,Referral,34,20275.0,14.5,4.5,4,2,0,0,14,0,1,0,0,4.1,0
189,29,Female,Seoul,Web,Standard,MobilePay,Organic,30,14455.0,12.7,6.2,2,5,1,0,13,0,1,0,0,3.1,0
190,21,Female,Daegu,Android,Basic,CreditCard,Organic,30,8728.0,16.3,2.9,1,2,0,0,0,1,1,1,0,3.3,1
191,33,Female,Seoul,Android,Standard,MobilePay,Organic,20,12710.0,7.2,5.4,3,1,0,0,17,0,1,1,1,4.3,0
192,47,Male,Daegu,Android,Basic,BankTransfer,SNS,19,7843.0,10.6,7.0,1,3,0,1,6,1,1,0,1,4.0,0
193,40,Female,Other,Android,Premium,BankTransfer,Ads,30,19747.0,23.1,6.4,1,2,1,1,1,1,0,0,0,3.9,0
194,24,Female,Busan,iOS,Basic,CreditCard,Ads,8,7965.0,7.1,7.0,5,2,0,0,32,0,1,1,0,2.9,0
195,40,Female,Incheon,iOS,Premium,CreditCard,SNS,27,20234.0,6.1,5.9,1,1,1,0,0,1,1,0,0,3.5,0
196,42,Female,Other,Android,Basic,CreditCard,Organic,19,7720.0,18.8,2.3,5,1,1,0,0,0,1,0,0,3.2,0
197,28,Female,Incheon,Android,Basic,MobilePay,Referral,17,54205.0,26.7,5.0,2,3,2,0,5,0,1,1,0,1.9,0
198,40,Female,Other,iOS,Premium,MobilePay,Affiliate,21,18820.0,19.2,3.8,3,3,2,1,3,1,0,0,0,2.3,0
199,39,Male,Seoul,Android,Premium,CreditCard,Organic,19,18214.0,15.5,4.5,3,2,3,1,10,0,0,0,0,2.0,0
200,25,Female,Daejeon,Android,Basic,MobilePay,Organic,26,,5.2,4.1,4,3,2,0,21,1,1,0,1,3.3,1
201,42,Female,Gwangju,Android,Premium,MobilePay,Organic,3,21155.0,18.0,7.0,3,5,0,1,5,1,1,1,1,3.9,1
202,44,Female,Other,iOS,Premium,CreditCard,SNS,8,19746.0,34.8,4.5,2,5,1,0,21,0,1,0,0,2.8,0
203,50,Female,Seoul,iOS,Premium,MobilePay,Referral,41,22679.0,43.0,3.6,2,3,0,1,6,1,1,1,0,3.7,0
